card-link--3ssYv href,heading--2eONR,details--1GUIn,premium-member--3Qd1D,price--3SnqI,updated-time--1DbCk
https://ikman.lk/en/ad/brand-new-modern-house-for-sale-close-to-nugegoda-town-for-sale-colombo,Brand New Modern House for Sale – Close to Nugegoda Town,Bedrooms: 5 | Bathrooms: 4,MEMBER,"Rs 75,000,000",2 hours
https://ikman.lk/en/ad/house-for-sale-in-battramulla-c7-10091-for-sale-colombo,House for Sale in Battramulla (C7-10091),Bedrooms: 6 | Bathrooms: 7,MEMBER,"Rs 450,000,000",2 hours
https://ikman.lk/en/ad/house-for-sale-in-dehiwala-c7-10044-for-sale-colombo,House for Sale in Dehiwala (C7-10044),Bedrooms: 7 | Bathrooms: 7,MEMBER,"Rs 90,000,000",2 hours
https://ikman.lk/en/ad/luxury-three-storey-house-for-sale-in-piliyandala-town-for-sale-colombo,Luxury Three Storey House for Sale in Piliyandala Town,Bedrooms: 5 | Bathrooms: 4,,"Rs 49,500,000",
https://ikman.lk/en/ad/dehiwala-04-story-house-for-sale-rhs-717-for-sale-colombo-1,☆ Dehiwala 04 Story House for Sale ( RHS - 717 ),Bedrooms: 7 | Bathrooms: 4,MEMBER,"Rs 57,500,000",2 hours
https://ikman.lk/en/ad/maharagama-modern-2-story-house-for-sale-rs-521-for-sale-colombo-2,☆ Maharagama Modern 2 Story House for Sale ( RS - 521),Bedrooms: 6 | Bathrooms: 4,MEMBER,"Rs 65,000,000",2 hours
https://ikman.lk/en/ad/dh1170-brand-new-single-storey-house-for-sale-in-mattegoda-for-sale-colombo-32,(DH1170) Brand New Single Storey House for Sale in Mattegoda,Bedrooms: 3 | Bathrooms: 2,MEMBER,"Rs 25,000,000",2 hours
https://ikman.lk/en/ad/dh1089-newly-built-two-storey-house-for-sale-in-piliyandala-for-sale-colombo-5,(DH1089) Newly Built Two Storey House for Sale in Piliyandala,Bedrooms: 5 | Bathrooms: 4,MEMBER,"Rs 40,000,000",2 hours
https://ikman.lk/en/ad/dh1202-newly-built-three-storey-house-for-sale-in-kahathuduwa-for-sale-colombo-6,(DH1202) Newly Built Three Storey House for Sale in Kahathuduwa,Bedrooms: 4 | Bathrooms: 2,MEMBER,"Rs 30,000,000",2 hours
https://ikman.lk/en/ad/dh1322-modern-2-storey-fully-furnished-house-for-sale-in-ratmalana-for-sale-colombo-2,(DH1322) Modern 2 Storey Fully Furnished House for Sale in Ratmalana,Bedrooms: 3 | Bathrooms: 3,MEMBER,"Rs 38,000,000",2 hours
https://ikman.lk/en/ad/house-for-sale-piliyandala-for-sale-colombo-3599,house for sale piliyandala,Bedrooms: 3 | Bathrooms: 1,,"Rs 6,200,000",2 hours
https://ikman.lk/en/ad/ah193-house-for-sale-in-mattegoda-for-sale-colombo,(AH193) House for Sale in Mattegoda,Bedrooms: 2 | Bathrooms: 1,MEMBER,"Rs 18,000,000",2 hours
https://ikman.lk/en/ad/luxury-2-storey-house-with-rooftop-for-sale-pannipitiya-solar-power-for-sale-colombo,Luxury 2-Storey House with Rooftop for Sale – Pannipitiya - SOLAR Power,Bedrooms: 5 | Bathrooms: 3,MEMBER,"Rs 49,000,000",2 hours
https://ikman.lk/en/ad/luxury-house-for-sale-in-kottawa-wr02500-for-sale-colombo,Luxury House for sale in Kottawa #WR02500,Bedrooms: 4 | Bathrooms: 4,,"Rs 47,000,000",
https://ikman.lk/en/ad/unlock-the-door-to-your-dream-home-for-sale-colombo-1,🔑 Unlock the Door to Your Dream Home,Bedrooms: 5 | Bathrooms: 3,MEMBER,"Rs 65,000,000",3 hours
https://ikman.lk/en/ad/katubadda-junction-luxury-house-for-sale-for-sale-colombo-2,Katubadda Junction Luxury House for Sale,Bedrooms: 4 | Bathrooms: 3,MEMBER,"Rs 68,500,000",3 hours
https://ikman.lk/en/ad/beautiful-brand-new-house-for-sale-in-piliyandala-for-sale-colombo-14,Beautiful Brand New House for Sale in Piliyandala,Bedrooms: 5 | Bathrooms: 3,MEMBER,"Rs 45,000,000",3 hours
https://ikman.lk/en/ad/fully-complete-new-house-for-sale-in-kottawa-mattegoda-for-sale-colombo-1,Fully Complete New House for Sale in Kottawa Mattegoda,Bedrooms: 3 | Bathrooms: 2,MEMBER,"Rs 17,000,000",3 hours
https://ikman.lk/en/ad/superb-luxury-two-story-house-for-sale-in-piliyandala-for-sale-colombo-1,Superb Luxury Two Story House for Sale in Piliyandala,Bedrooms: 4 | Bathrooms: 3,MEMBER,"Rs 42,000,000",3 hours
https://ikman.lk/en/ad/house-for-sale-nugegoda-dabare-place-for-sale-colombo,"HOUSE FOR SALE – NUGE​​GODA, DABARE PLACE",Bedrooms: 5 | Bathrooms: 2,MEMBER,"Rs 49,500,000",3 hours
https://ikman.lk/en/ad/house-for-sale-malabe-kahanthota-road-for-sale-colombo-2,HOUSE FOR SALE – MALABE | KAHANTHOTA ROAD,Bedrooms: 3 | Bathrooms: 3,MEMBER,"Rs 60,000,000",3 hours
https://ikman.lk/en/ad/stunning-specious-luxury-two-story-house-for-sale-in-pitakotte-kotte-for-sale-colombo,"Stunning, specious, luxury two story house for sale in Pitakotte - Kotte",Bedrooms: 5 | Bathrooms: 5,MEMBER,"Rs 79,500,000",3 hours
https://ikman.lk/en/ad/house-for-sale-in-gated-community-dampe-piliyadnala-near-tnl-for-sale-colombo,House For Sale in Gated Community Dampe Piliyadnala Near TNL,Bedrooms: 4 | Bathrooms: 2,MEMBER,"Rs 29,500,000",3 hours
https://ikman.lk/en/ad/single-story-modern-brand-new-house-homagama-diyagama-for-sale-colombo,Single Story Modern Brand-New House Homagama Diyagama,Bedrooms: 3 | Bathrooms: 2,MEMBER,"Rs 23,000,000",3 hours
https://ikman.lk/en/ad/eye-catching-house-for-sale-in-meegoda-for-sale-colombo-2,Eye catching |House for sale in Meegoda,Bedrooms: 3 | Bathrooms: 2,MEMBER,"Rs 31,000,000",
https://ikman.lk/en/ad/brand-new-2-storied-house-for-sale-piliyandala-for-sale-colombo-86,Brand New 2 Storied House for Sale – Piliyandala,Bedrooms: 4 | Bathrooms: 3,MEMBER,"Rs 39,000,000",
https://ikman.lk/en/ad/brand-new-2-storied-house-for-sale-malabe-arangala-for-sale-colombo-1,"Brand New 2 Storied House for Sale – Malabe, Arangala",Bedrooms: 4 | Bathrooms: 3,MEMBER,"Rs 44,000,000",
https://ikman.lk/en/ad/brand-new-2-storied-house-for-sale-piliyandala-for-sale-colombo-87,Brand New 2 Storied House for Sale – Piliyandala,Bedrooms: 4 | Bathrooms: 3,MEMBER,"Rs 44,000,000",
https://ikman.lk/en/ad/modern-slab-roof-single-storey-2-bedroom-house-for-sale-in-dehiwala-for-sale-colombo,Modern Slab Roof Single Storey 2 Bedroom House For Sale In Dehiwala,Bedrooms: 2 | Bathrooms: 2,,"Rs 33,000,000",
https://ikman.lk/en/ad/moderntwo-storey-house-for-sale-in-piliyandala-for-sale-colombo,ModernTwo Storey House for Sale in Piliyandala,Bedrooms: 3 | Bathrooms: 2,,"Rs 27,500,000",
https://ikman.lk/en/ad/vttinaa-temhl-nivsk-kottttaavenvikiniimtthw78268-for-sale-colombo,වටිනා තෙමහල් නිවසක් කොට්ටාවෙන්විකිනීමට(hw78268),Bedrooms: 4 | Bathrooms: 5,MEMBER,"Rs 31,000,000",4 hours
https://ikman.lk/en/ad/brand-new-single-storey-luxury-house-for-sale-in-diyagamai9826-for-sale-colombo,Brand New Single Storey Luxury House for Sale In Diyagama(i9826),Bedrooms: 3 | Bathrooms: 2,MEMBER,"Rs 21,500,000",4 hours
https://ikman.lk/en/ad/brand-new-single-storey-luxury-house-for-sale-in-diyagamau766-for-sale-colombo,Brand New Single Storey Luxury House for Sale In Diyagama(u766),Bedrooms: 3 | Bathrooms: 2,MEMBER,"Rs 21,500,000",4 hours
